"Date","Price","Open","High","Low","Vol.","Change %"
"02/09/2025","1.0491","1.0291","1.0515","1.0285","","1.59%"
"02/02/2025","1.0327","1.0288","1.0444","1.0146","","-0.34%"
"01/26/2025","1.0362","1.0486","1.0534","1.0350","","-1.25%"
"01/19/2025","1.0493","1.0276","1.0523","1.0266","","2.16%"
"01/12/2025","1.0271","1.0241","1.0355","1.0178","","0.26%"
"01/05/2025","1.0244","1.0303","1.0438","1.0216","","-0.62%"
"12/29/2024","1.0308","1.0433","1.0459","1.0225","","-1.14%"
"12/22/2024","1.0427","1.0425","1.0446","1.0383","","-0.02%"
"12/15/2024","1.0429","1.0497","1.0535","1.0343","","-0.70%"
"12/08/2024","1.0502","1.0563","1.0595","1.0453","","-0.62%"
"12/01/2024","1.0568","1.0577","1.0631","1.0460","","-0.07%"
"11/24/2024","1.0575","1.0448","1.0598","1.0425","","1.52%"
"11/17/2024","1.0417","1.0535","1.0611","1.0334","","-1.18%"
"11/10/2024","1.0541","1.0713","1.0728","1.0496","","-1.65%"
"11/03/2024","1.0718","1.0860","1.0938","1.0682","","-1.07%"
"10/27/2024","1.0834","1.0797","1.0905","1.0769","","0.38%"
"10/20/2024","1.0793","1.0861","1.0872","1.0761","","-0.67%"
"10/13/2024","1.0866","1.0933","1.0937","1.0811","","-0.65%"
"10/06/2024","1.0937","1.0976","1.0998","1.0899","","-0.36%"
"09/29/2024","1.0976","1.1159","1.1209","1.0951","","-1.68%"
"09/22/2024","1.1163","1.1163","1.1214","1.1083","","0.01%"
"09/15/2024","1.1162","1.1078","1.1190","1.1068","","0.78%"
"09/08/2024","1.1076","1.1082","1.1102","1.1002","","-0.06%"
"09/01/2024","1.1083","1.1047","1.1156","1.1026","","0.33%"
"08/25/2024","1.1047","1.1188","1.1202","1.1044","","-1.28%"
"08/18/2024","1.1190","1.1024","1.1200","1.1022","","1.47%"
"08/11/2024","1.1028","1.0915","1.1048","1.0911","","1.03%"
"08/04/2024","1.0916","1.0922","1.1008","1.0882","","0.07%"
"07/28/2024","1.0908","1.0864","1.0927","1.0776","","0.47%"
"07/21/2024","1.0857","1.0881","1.0904","1.0826","","-0.18%"
"07/14/2024","1.0877","1.0887","1.0948","1.0871","","-0.27%"
"07/07/2024","1.0906","1.0809","1.0912","1.0802","","0.65%"
"06/30/2024","1.0836","1.0728","1.0843","1.0709","","1.15%"
"06/23/2024","1.0713","1.0688","1.0747","1.0666","","0.21%"
"06/16/2024","1.0691","1.0702","1.0762","1.0670","","-0.08%"
"06/09/2024","1.0700","1.0797","1.0853","1.0668","","-0.93%"
"06/02/2024","1.0800","1.0851","1.0917","1.0799","","-0.38%"
"05/26/2024","1.0841","1.0854","1.0890","1.0788","","-0.04%"
"05/19/2024","1.0845","1.0866","1.0885","1.0805","","-0.23%"
"05/12/2024","1.0870","1.0774","1.0896","1.0766","","0.94%"
"05/05/2024","1.0769","1.0762","1.0791","1.0724","","0.10%"
"04/28/2024","1.0758","1.0695","1.0813","1.0649","","0.62%"
"04/21/2024","1.0692","1.0656","1.0754","1.0623","","0.36%"
"04/14/2024","1.0654","1.0637","1.0690","1.0601","","0.11%"
"04/07/2024","1.0642","1.0843","1.0886","1.0622","","-1.78%"
"03/31/2024","1.0835","1.0788","1.0877","1.0724","","0.39%"
"03/24/2024","1.0793","1.0808","1.0865","1.0767","","-0.11%"
"03/17/2024","1.0805","1.0893","1.0943","1.0802","","-0.75%"
"03/10/2024","1.0887","1.0944","1.0964","1.0872","","-0.46%"
"03/03/2024","1.0937","1.0842","1.0982","1.0838","","0.92%"
"02/25/2024","1.0837","1.0826","1.0867","1.0795","","0.18%"
"02/18/2024","1.0818","1.0776","1.0889","1.0761","","0.41%"
"02/11/2024","1.0774","1.0781","1.0806","1.0695","","-0.07%"
"02/04/2024","1.0782","1.0784","1.0796","1.0723","","-0.02%"
"01/28/2024","1.0784","1.0849","1.0898","1.0779","","-0.63%"
"01/21/2024","1.0852","1.0891","1.0933","1.0812","","-0.41%"
"01/14/2024","1.0897","1.0955","1.0969","1.0844","","-0.47%"
"01/07/2024","1.0949","1.0946","1.0991","1.0910","","0.07%"
"12/31/2023","1.0941","1.1044","1.1048","1.0876","","-0.86%"
"12/24/2023","1.1036","1.1017","1.1141","1.0993","","0.24%"
"12/17/2023","1.1010","1.0903","1.1041","1.0891","","1.06%"
"12/10/2023","1.0894","1.0762","1.1010","1.0741","","1.24%"
"12/03/2023","1.0761","1.0887","1.0896","1.0723","","-1.10%"
"11/26/2023","1.0881","1.0937","1.1018","1.0828","","-0.53%"
"11/19/2023","1.0939","1.0913","1.0965","1.0852","","0.29%"
"11/12/2023","1.0907","1.0684","1.0917","1.0664","","2.12%"
"11/05/2023","1.0681","1.0729","1.0757","1.0655","","-0.45%"
"10/29/2023","1.0729","1.0566","1.0747","1.0517","","1.56%"
"10/22/2023","1.0564","1.0594","1.0695","1.0522","","-0.27%"
"10/15/2023","1.0593","1.0507","1.0618","1.0507","","0.80%"
"10/08/2023","1.0509","1.0563","1.0640","1.0495","","-0.73%"
"10/01/2023","1.0586","1.0568","1.0601","1.0448","","0.15%"
"09/24/2023","1.0570","1.0655","1.0656","1.0488","","-0.77%"
"09/17/2023","1.0652","1.0663","1.0738","1.0614","","-0.03%"
"09/10/2023","1.0655","1.0716","1.0769","1.0631","","-0.41%"
"09/03/2023","1.0699","1.0777","1.0810","1.0686","","-0.69%"
"08/27/2023","1.0773","1.0801","1.0947","1.0771","","-0.25%"
"08/20/2023","1.0800","1.0878","1.0932","1.0766","","-0.60%"
"08/13/2023","1.0865","1.0953","1.0961","1.0845","","-0.72%"
"08/06/2023","1.0944","1.1018","1.1065","1.0928","","-0.60%"
"07/30/2023","1.1010","1.1023","1.1047","1.0912","","-0.05%"
"07/23/2023","1.1015","1.1127","1.1150","1.0943","","-0.97%"
"07/16/2023","1.1123","1.1235","1.1277","1.1107","","-0.93%"
"07/09/2023","1.1227","1.0971","1.1245","1.0943","","2.37%"
"07/02/2023","1.0967","1.0911","1.0975","1.0833","","0.52%"
"06/25/2023","1.0910","1.0897","1.0977","1.0834","","0.19%"
